drug1,drug2,severity,note
Quetiapine,Aripiprazole,medium,"Moderate interaction, consult healthcare provider."
Prednisone,Ranitidine,high,"Severe interaction, avoid concurrent use."
Simvastatin,Gabapentin,high,"Severe interaction, avoid concurrent use."
Furosemide,Morphine,medium,"Moderate interaction, consult healthcare provider."
Sertraline,Baclofen,high,"Severe interaction, avoid concurrent use."
Metformin,Prednisone,medium,"Moderate interaction, consult healthcare provider."
Lisinopril,Azithromycin,low,"Minor interaction, monitor symptoms."
Lisinopril,Baclofen,high,"Severe interaction, avoid concurrent use."
Insulin,Ketorolac,medium,"Moderate interaction, consult healthcare provider."
Amoxicillin,Losartan,low,"Minor interaction, monitor symptoms."
Losartan,Diazepam,low,"Minor interaction, monitor symptoms."
Ciprofloxacin,Atorvastatin,high,"Severe interaction, avoid concurrent use."
Naproxen,Gabapentin,medium,"Moderate interaction, consult healthcare provider."
Ranitidine,Gabapentin,high,"Severe interaction, avoid concurrent use."
Lisinopril,Quetiapine,low,"Minor interaction, monitor symptoms."
Sertraline,Azithromycin,low,"Minor interaction, monitor symptoms."
Amoxicillin,Morphine,low,"Minor interaction, monitor symptoms."
Amoxicillin,Tramadol,medium,"Moderate interaction, consult healthcare provider."
Fluoxetine,Azithromycin,medium,"Moderate interaction, consult healthcare provider."
Paracetamol,Diazepam,low,"Minor interaction, monitor symptoms."
Codeine,Ketorolac,medium,"Moderate interaction, consult healthcare provider."
Losartan,Trazodone,low,"Minor interaction, monitor symptoms."
Warfarin,Amoxicillin,low,"Minor interaction, monitor symptoms."
Atorvastatin,Aripiprazole,low,"Minor interaction, monitor symptoms."
Prednisone,Bupropion,high,"Severe interaction, avoid concurrent use."
Trazodone,Bupropion,high,"Severe interaction, avoid concurrent use."
Warfarin,Paracetamol,low,"Minor interaction, monitor symptoms."
Losartan,Azithromycin,high,"Severe interaction, avoid concurrent use."
Esomeprazole,Gabapentin,low,"Minor interaction, monitor symptoms."
Simvastatin,Citalopram,medium,"Moderate interaction, consult healthcare provider."
Morphine,Trazodone,low,"Minor interaction, monitor symptoms."
Metoprolol,Trazodone,medium,"Moderate interaction, consult healthcare provider."
Bupropion,Olanzapine,low,"Minor interaction, monitor symptoms."
Furosemide,Fluoxetine,high,"Severe interaction, avoid concurrent use."
Metoprolol,Hydrochlorothiazide,low,"Minor interaction, monitor symptoms."
Zolpidem,Venlafaxine,medium,"Moderate interaction, consult healthcare provider."
Alprazolam,Losartan,low,"Minor interaction, monitor symptoms."
Omeprazole,Ranitidine,high,"Severe interaction, avoid concurrent use."
Citalopram,Levothyroxine,low,"Minor interaction, monitor symptoms."
Metformin,Venlafaxine,low,"Minor interaction, monitor symptoms."
Alprazolam,Naproxen,high,"Severe interaction, avoid concurrent use."
Ibuprofen,Bupropion,low,"Minor interaction, monitor symptoms."
Paracetamol,Quetiapine,low,"Minor interaction, monitor symptoms."
Metformin,Losartan,low,"Minor interaction, monitor symptoms."
Metformin,Ciprofloxacin,low,"Minor interaction, monitor symptoms."
Metoprolol,Fluoxetine,high,"Severe interaction, avoid concurrent use."
Lisinopril,Tramadol,high,"Severe interaction, avoid concurrent use."
Gabapentin,Quetiapine,high,"Severe interaction, avoid concurrent use."
Hydrochlorothiazide,Furosemide,low,"Minor interaction, monitor symptoms."
Metoprolol,Insulin,medium,"Moderate interaction, consult healthcare provider."
Ranitidine,Risperidone,high,"Severe interaction, avoid concurrent use."
Paracetamol,Clopidogrel,low,"Minor interaction, monitor symptoms."
Ciprofloxacin,Furosemide,medium,"Moderate interaction, consult healthcare provider."
Ibuprofen,Fluoxetine,medium,"Moderate interaction, consult healthcare provider."
Paracetamol,Trazodone,high,"Severe interaction, avoid concurrent use."
Tramadol,Gabapentin,high,"Severe interaction, avoid concurrent use."
Insulin,Quetiapine,low,"Minor interaction, monitor symptoms."
Aspirin,Lisinopril,low,"Minor interaction, monitor symptoms."
Citalopram,Tramadol,medium,"Moderate interaction, consult healthcare provider."
Metformin,Citalopram,low,"Minor interaction, monitor symptoms."
Diazepam,Ranitidine,medium,"Moderate interaction, consult healthcare provider."
Diazepam,Levothyroxine,medium,"Moderate interaction, consult healthcare provider."
Hydrochlorothiazide,Gabapentin,high,"Severe interaction, avoid concurrent use."
Metformin,Zolpidem,medium,"Moderate interaction, consult healthcare provider."
Esomeprazole,Bupropion,high,"Severe interaction, avoid concurrent use."
Metformin,Insulin,high,"Severe interaction, avoid concurrent use."
Omeprazole,Quetiapine,medium,"Moderate interaction, consult healthcare provider."
Omeprazole,Azithromycin,low,"Minor interaction, monitor symptoms."
Insulin,Aripiprazole,low,"Minor interaction, monitor symptoms."
Furosemide,Levothyroxine,medium,"Moderate interaction, consult healthcare provider."
Clopidogrel,Ketorolac,medium,"Moderate interaction, consult healthcare provider."
Sertraline,Losartan,low,"Minor interaction, monitor symptoms."
Ciprofloxacin,Insulin,high,"Severe interaction, avoid concurrent use."
Paracetamol,Ciprofloxacin,high,"Severe interaction, avoid concurrent use."
Esomeprazole,Losartan,low,"Minor interaction, monitor symptoms."
Fluoxetine,Baclofen,medium,"Moderate interaction, consult healthcare provider."
Levothyroxine,Bupropion,medium,"Moderate interaction, consult healthcare provider."
Alprazolam,Diazepam,high,"Severe interaction, avoid concurrent use."
Tramadol,Zolpidem,high,"Severe interaction, avoid concurrent use."
Citalopram,Doxycycline,medium,"Moderate interaction, consult healthcare provider."
Insulin,Olanzapine,medium,"Moderate interaction, consult healthcare provider."
Warfarin,Trazodone,medium,"Moderate interaction, consult healthcare provider."
Amoxicillin,Bupropion,high,"Severe interaction, avoid concurrent use."
Simvastatin,Trazodone,medium,"Moderate interaction, consult healthcare provider."
Metoprolol,Ketorolac,medium,"Moderate interaction, consult healthcare provider."
Lisinopril,Haloperidol,high,"Severe interaction, avoid concurrent use."
Prednisone,Doxycycline,medium,"Moderate interaction, consult healthcare provider."
Amoxicillin,Ketorolac,medium,"Moderate interaction, consult healthcare provider."
Metoprolol,Levothyroxine,medium,"Moderate interaction, consult healthcare provider."
Metoprolol,Aripiprazole,medium,"Moderate interaction, consult healthcare provider."
Clopidogrel,Zolpidem,high,"Severe interaction, avoid concurrent use."
Aspirin,Risperidone,medium,"Moderate interaction, consult healthcare provider."
Ranitidine,Losartan,low,"Minor interaction, monitor symptoms."
Ciprofloxacin,Quetiapine,high,"Severe interaction, avoid concurrent use."
Venlafaxine,Olanzapine,high,"Severe interaction, avoid concurrent use."
Losartan,Metoprolol,low,"Minor interaction, monitor symptoms."
Paracetamol,Bupropion,low,"Minor interaction, monitor symptoms."
Diazepam,Zolpidem,medium,"Moderate interaction, consult healthcare provider."
Alprazolam,Citalopram,high,"Severe interaction, avoid concurrent use."
Ibuprofen,Azithromycin,medium,"Moderate interaction, consult healthcare provider."
Ciprofloxacin,Ketorolac,medium,"Moderate interaction, consult healthcare provider."
Furosemide,Sertraline,high,"Severe interaction, avoid concurrent use."
Metformin,Ketorolac,low,"Minor interaction, monitor symptoms."
Amoxicillin,Furosemide,high,"Severe interaction, avoid concurrent use."
Naproxen,Venlafaxine,medium,"Moderate interaction, consult healthcare provider."
Zolpidem,Bupropion,high,"Severe interaction, avoid concurrent use."
Doxycycline,Venlafaxine,medium,"Moderate interaction, consult healthcare provider."
Ciprofloxacin,Naproxen,high,"Severe interaction, avoid concurrent use."
Losartan,Olanzapine,medium,"Moderate interaction, consult healthcare provider."
Bupropion,Aripiprazole,medium,"Moderate interaction, consult healthcare provider."
Tramadol,Trazodone,high,"Severe interaction, avoid concurrent use."
Metoprolol,Risperidone,high,"Severe interaction, avoid concurrent use."
Morphine,Azithromycin,high,"Severe interaction, avoid concurrent use."
Baclofen,Aripiprazole,high,"Severe interaction, avoid concurrent use."
Naproxen,Losartan,low,"Minor interaction, monitor symptoms."
Losartan,Hydrochlorothiazide,medium,"Moderate interaction, consult healthcare provider."
Hydrochlorothiazide,Insulin,medium,"Moderate interaction, consult healthcare provider."
Prednisone,Aripiprazole,low,"Minor interaction, monitor symptoms."
Lisinopril,Esomeprazole,high,"Severe interaction, avoid concurrent use."
Paracetamol,Risperidone,high,"Severe interaction, avoid concurrent use."
Metformin,Metoprolol,high,"Severe interaction, avoid concurrent use."
Metformin,Morphine,low,"Minor interaction, monitor symptoms."
Diazepam,Azithromycin,high,"Severe interaction, avoid concurrent use."
Amoxicillin,Gabapentin,low,"Minor interaction, monitor symptoms."
Atorvastatin,Morphine,low,"Minor interaction, monitor symptoms."
Alprazolam,Levothyroxine,high,"Severe interaction, avoid concurrent use."
Insulin,Ranitidine,high,"Severe interaction, avoid concurrent use."
Gabapentin,Risperidone,medium,"Moderate interaction, consult healthcare provider."
Metformin,Gabapentin,low,"Minor interaction, monitor symptoms."
Warfarin,Bupropion,high,"Severe interaction, avoid concurrent use."
Baclofen,Bupropion,high,"Severe interaction, avoid concurrent use."
Levothyroxine,Esomeprazole,high,"Severe interaction, avoid concurrent use."
Atorvastatin,Quetiapine,low,"Minor interaction, monitor symptoms."
Azithromycin,Losartan,low,"Minor interaction, monitor symptoms."
Omeprazole,Sertraline,low,"Minor interaction, monitor symptoms."
Insulin,Bupropion,low,"Minor interaction, monitor symptoms."
Paracetamol,Zolpidem,low,"Minor interaction, monitor symptoms."
Citalopram,Quetiapine,low,"Minor interaction, monitor symptoms."
Ciprofloxacin,Fluoxetine,low,"Minor interaction, monitor symptoms."
Losartan,Gabapentin,low,"Minor interaction, monitor symptoms."
Atorvastatin,Esomeprazole,low,"Minor interaction, monitor symptoms."
Aspirin,Alprazolam,low,"Minor interaction, monitor symptoms."
Ciprofloxacin,Metoprolol,high,"Severe interaction, avoid concurrent use."
Levothyroxine,Morphine,low,"Minor interaction, monitor symptoms."
Bupropion,Risperidone,high,"Severe interaction, avoid concurrent use."
Morphine,Ranitidine,low,"Minor interaction, monitor symptoms."
Fluoxetine,Ranitidine,low,"Minor interaction, monitor symptoms."
Trazodone,Olanzapine,high,"Severe interaction, avoid concurrent use."
Gabapentin,Bupropion,low,"Minor interaction, monitor symptoms."
Naproxen,Zolpidem,high,"Severe interaction, avoid concurrent use."
Hydrochlorothiazide,Venlafaxine,medium,"Moderate interaction, consult healthcare provider."
Simvastatin,Doxycycline,low,"Minor interaction, monitor symptoms."
Warfarin,Aripiprazole,low,"Minor interaction, monitor symptoms."
Paracetamol,Amoxicillin,high,"Severe interaction, avoid concurrent use."
Ciprofloxacin,Simvastatin,high,"Severe interaction, avoid concurrent use."
Atorvastatin,Risperidone,low,"Minor interaction, monitor symptoms."
Prednisone,Risperidone,high,"Severe interaction, avoid concurrent use."
Citalopram,Venlafaxine,medium,"Moderate interaction, consult healthcare provider."
Metoprolol,Baclofen,high,"Severe interaction, avoid concurrent use."
Ibuprofen,Atorvastatin,low,"Minor interaction, monitor symptoms."
Alprazolam,Esomeprazole,high,"Severe interaction, avoid concurrent use."
Esomeprazole,Doxycycline,low,"Minor interaction, monitor symptoms."
Omeprazole,Morphine,high,"Severe interaction, avoid concurrent use."
Metoprolol,Quetiapine,low,"Minor interaction, monitor symptoms."
Diazepam,Fluoxetine,low,"Minor interaction, monitor symptoms."
Metoprolol,Esomeprazole,medium,"Moderate interaction, consult healthcare provider."
Levothyroxine,Zolpidem,medium,"Moderate interaction, consult healthcare provider."
Simvastatin,Clopidogrel,medium,"Moderate interaction, consult healthcare provider."
Fluoxetine,Trazodone,high,"Severe interaction, avoid concurrent use."
Losartan,Zolpidem,low,"Minor interaction, monitor symptoms."
Ranitidine,Quetiapine,high,"Severe interaction, avoid concurrent use."
Prednisone,Azithromycin,medium,"Moderate interaction, consult healthcare provider."
Lisinopril,Morphine,medium,"Moderate interaction, consult healthcare provider."
Azithromycin,Venlafaxine,medium,"Moderate interaction, consult healthcare provider."
Baclofen,Trazodone,low,"Minor interaction, monitor symptoms."
Lisinopril,Fluoxetine,medium,"Moderate interaction, consult healthcare provider."
Furosemide,Venlafaxine,high,"Severe interaction, avoid concurrent use."
Aspirin,Atorvastatin,high,"Severe interaction, avoid concurrent use."
Naproxen,Bupropion,low,"Minor interaction, monitor symptoms."
Gabapentin,Ketorolac,high,"Severe interaction, avoid concurrent use."
Tramadol,Haloperidol,high,"Severe interaction, avoid concurrent use."
Lisinopril,Diazepam,high,"Severe interaction, avoid concurrent use."
Atorvastatin,Diazepam,low,"Minor interaction, monitor symptoms."
Ranitidine,Trazodone,low,"Minor interaction, monitor symptoms."
Lisinopril,Omeprazole,medium,"Moderate interaction, consult healthcare provider."
Paracetamol,Haloperidol,low,"Minor interaction, monitor symptoms."
Losartan,Trazodone,high,"Severe interaction, avoid concurrent use."
Alprazolam,Gabapentin,low,"Minor interaction, monitor symptoms."
Citalopram,Codeine,low,"Minor interaction, monitor symptoms."
Fluoxetine,Levothyroxine,high,"Severe interaction, avoid concurrent use."
Losartan,Losartan,low,"Minor interaction, monitor symptoms."
Paracetamol,Insulin,low,"Minor interaction, monitor symptoms."
Prednisone,Naproxen,high,"Severe interaction, avoid concurrent use."
Aspirin,Quetiapine,high,"Severe interaction, avoid concurrent use."
Paracetamol,Ranitidine,high,"Severe interaction, avoid concurrent use."
Furosemide,Esomeprazole,high,"Severe interaction, avoid concurrent use."
Esomeprazole,Baclofen,medium,"Moderate interaction, consult healthcare provider."
Metoprolol,Alprazolam,low,"Minor interaction, monitor symptoms."
Ibuprofen,Venlafaxine,low,"Minor interaction, monitor symptoms."
Fluoxetine,Venlafaxine,low,"Minor interaction, monitor symptoms."
Furosemide,Gabapentin,high,"Severe interaction, avoid concurrent use."
Ciprofloxacin,Bupropion,medium,"Moderate interaction, consult healthcare provider."
Ibuprofen,Naproxen,medium,"Moderate interaction, consult healthcare provider."
Prednisone,Sertraline,high,"Severe interaction, avoid concurrent use."
Metoprolol,Zolpidem,low,"Minor interaction, monitor symptoms."
Trazodone,Venlafaxine,low,"Minor interaction, monitor symptoms."
Prednisone,Fluoxetine,low,"Minor interaction, monitor symptoms."
Esomeprazole,Aripiprazole,low,"Minor interaction, monitor symptoms."
Clopidogrel,Insulin,medium,"Moderate interaction, consult healthcare provider."
Simvastatin,Ketorolac,medium,"Moderate interaction, consult healthcare provider."
Ketorolac,Bupropion,low,"Minor interaction, monitor symptoms."
Aspirin,Metoprolol,high,"Severe interaction, avoid concurrent use."
Losartan,Esomeprazole,high,"Severe interaction, avoid concurrent use."
Sertraline,Insulin,high,"Severe interaction, avoid concurrent use."
Atorvastatin,Gabapentin,medium,"Moderate interaction, consult healthcare provider."
Metformin,Omeprazole,medium,"Moderate interaction, consult healthcare provider."
Hydrochlorothiazide,Diazepam,low,"Minor interaction, monitor symptoms."
Clopidogrel,Alprazolam,low,"Minor interaction, monitor symptoms."
Prednisone,Diazepam,low,"Minor interaction, monitor symptoms."
Ranitidine,Baclofen,low,"Minor interaction, monitor symptoms."
Prednisone,Omeprazole,low,"Minor interaction, monitor symptoms."
Ciprofloxacin,Lisinopril,low,"Minor interaction, monitor symptoms."
Azithromycin,Baclofen,medium,"Moderate interaction, consult healthcare provider."
Clopidogrel,Risperidone,low,"Minor interaction, monitor symptoms."
Ketorolac,Zolpidem,low,"Minor interaction, monitor symptoms."
Losartan,Codeine,high,"Severe interaction, avoid concurrent use."
Clopidogrel,Gabapentin,low,"Minor interaction, monitor symptoms."
Esomeprazole,Ketorolac,low,"Minor interaction, monitor symptoms."
Ibuprofen,Doxycycline,low,"Minor interaction, monitor symptoms."
Atorvastatin,Insulin,high,"Severe interaction, avoid concurrent use."
Levothyroxine,Gabapentin,medium,"Moderate interaction, consult healthcare provider."
Hydrochlorothiazide,Codeine,medium,"Moderate interaction, consult healthcare provider."
Baclofen,Olanzapine,low,"Minor interaction, monitor symptoms."
Prednisone,Levothyroxine,low,"Minor interaction, monitor symptoms."
Ibuprofen,Clopidogrel,medium,"Moderate interaction, consult healthcare provider."
Paracetamol,Morphine,medium,"Moderate interaction, consult healthcare provider."
Lisinopril,Codeine,high,"Severe interaction, avoid concurrent use."
Tramadol,Doxycycline,medium,"Moderate interaction, consult healthcare provider."
Lisinopril,Sertraline,low,"Minor interaction, monitor symptoms."
Zolpidem,Risperidone,medium,"Moderate interaction, consult healthcare provider."
Codeine,Risperidone,low,"Minor interaction, monitor symptoms."
Simvastatin,Ranitidine,medium,"Moderate interaction, consult healthcare provider."
Naproxen,Olanzapine,high,"Severe interaction, avoid concurrent use."
Morphine,Bupropion,low,"Minor interaction, monitor symptoms."
Omeprazole,Naproxen,low,"Minor interaction, monitor symptoms."
Simvastatin,Losartan,high,"Severe interaction, avoid concurrent use."
Sertraline,Esomeprazole,high,"Severe interaction, avoid concurrent use."
Zolpidem,Quetiapine,medium,"Moderate interaction, consult healthcare provider."
Losartan,Levothyroxine,low,"Minor interaction, monitor symptoms."
Codeine,Azithromycin,high,"Severe interaction, avoid concurrent use."
Simvastatin,Furosemide,low,"Minor interaction, monitor symptoms."
Ranitidine,Bupropion,low,"Minor interaction, monitor symptoms."
Diazepam,Losartan,high,"Severe interaction, avoid concurrent use."
Losartan,Naproxen,medium,"Moderate interaction, consult healthcare provider."
Alprazolam,Quetiapine,high,"Severe interaction, avoid concurrent use."
Omeprazole,Olanzapine,low,"Minor interaction, monitor symptoms."
Ibuprofen,Codeine,medium,"Moderate interaction, consult healthcare provider."
Warfarin,Azithromycin,low,"Minor interaction, monitor symptoms."
Clopidogrel,Sertraline,medium,"Moderate interaction, consult healthcare provider."
Tramadol,Risperidone,high,"Severe interaction, avoid concurrent use."
Levothyroxine,Venlafaxine,high,"Severe interaction, avoid concurrent use."
Paracetamol,Codeine,low,"Minor interaction, monitor symptoms."
Esomeprazole,Risperidone,medium,"Moderate interaction, consult healthcare provider."
Hydrochlorothiazide,Tramadol,low,"Minor interaction, monitor symptoms."
Warfarin,Quetiapine,medium,"Moderate interaction, consult healthcare provider."
Clopidogrel,Morphine,medium,"Moderate interaction, consult healthcare provider."
Metformin,Azithromycin,high,"Severe interaction, avoid concurrent use."
Prednisone,Codeine,high,"Severe interaction, avoid concurrent use."
Esomeprazole,Trazodone,low,"Minor interaction, monitor symptoms."
Ciprofloxacin,Gabapentin,medium,"Moderate interaction, consult healthcare provider."
Atorvastatin,Clopidogrel,high,"Severe interaction, avoid concurrent use."
Codeine,Losartan,medium,"Moderate interaction, consult healthcare provider."
Metoprolol,Venlafaxine,high,"Severe interaction, avoid concurrent use."
Ranitidine,Aripiprazole,low,"Minor interaction, monitor symptoms."
Furosemide,Risperidone,low,"Minor interaction, monitor symptoms."
Insulin,Zolpidem,high,"Severe interaction, avoid concurrent use."
Metformin,Clopidogrel,low,"Minor interaction, monitor symptoms."
Amoxicillin,Aripiprazole,medium,"Moderate interaction, consult healthcare provider."
Metformin,Codeine,medium,"Moderate interaction, consult healthcare provider."
Losartan,Ranitidine,high,"Severe interaction, avoid concurrent use."
Tramadol,Losartan,low,"Minor interaction, monitor symptoms."
Simvastatin,Sertraline,low,"Minor interaction, monitor symptoms."
Aspirin,Prednisone,medium,"Moderate interaction, consult healthcare provider."
Simvastatin,Bupropion,medium,"Moderate interaction, consult healthcare provider."
Simvastatin,Insulin,low,"Minor interaction, monitor symptoms."
Warfarin,Gabapentin,high,"Severe interaction, avoid concurrent use."
Risperidone,Aripiprazole,medium,"Moderate interaction, consult healthcare provider."
Amoxicillin,Metoprolol,medium,"Moderate interaction, consult healthcare provider."
Insulin,Naproxen,medium,"Moderate interaction, consult healthcare provider."
Lisinopril,Ranitidine,medium,"Moderate interaction, consult healthcare provider."
Ranitidine,Zolpidem,low,"Minor interaction, monitor symptoms."
Simvastatin,Losartan,high,"Severe interaction, avoid concurrent use."
Morphine,Codeine,low,"Minor interaction, monitor symptoms."
Ciprofloxacin,Ranitidine,high,"Severe interaction, avoid concurrent use."
Naproxen,Ketorolac,low,"Minor interaction, monitor symptoms."
Paracetamol,Prednisone,high,"Severe interaction, avoid concurrent use."
Paracetamol,Sertraline,medium,"Moderate interaction, consult healthcare provider."
Levothyroxine,Aripiprazole,high,"Severe interaction, avoid concurrent use."
Sertraline,Levothyroxine,high,"Severe interaction, avoid concurrent use."
Diazepam,Bupropion,high,"Severe interaction, avoid concurrent use."
Omeprazole,Ketorolac,high,"Severe interaction, avoid concurrent use."
Sertraline,Olanzapine,high,"Severe interaction, avoid concurrent use."
Fluoxetine,Quetiapine,medium,"Moderate interaction, consult healthcare provider."
Doxycycline,Azithromycin,low,"Minor interaction, monitor symptoms."
Risperidone,Haloperidol,high,"Severe interaction, avoid concurrent use."
Clopidogrel,Bupropion,medium,"Moderate interaction, consult healthcare provider."
Amoxicillin,Omeprazole,low,"Minor interaction, monitor symptoms."
Ranitidine,Ketorolac,low,"Minor interaction, monitor symptoms."
Metoprolol,Bupropion,medium,"Moderate interaction, consult healthcare provider."
Hydrochlorothiazide,Sertraline,high,"Severe interaction, avoid concurrent use."
Hydrochlorothiazide,Morphine,medium,"Moderate interaction, consult healthcare provider."
Ibuprofen,Amoxicillin,low,"Minor interaction, monitor symptoms."
Doxycycline,Olanzapine,high,"Severe interaction, avoid concurrent use."
Paracetamol,Simvastatin,high,"Severe interaction, avoid concurrent use."
Simvastatin,Naproxen,low,"Minor interaction, monitor symptoms."
Morphine,Quetiapine,low,"Minor interaction, monitor symptoms."
Losartan,Haloperidol,high,"Severe interaction, avoid concurrent use."
Amoxicillin,Codeine,medium,"Moderate interaction, consult healthcare provider."
Losartan,Baclofen,medium,"Moderate interaction, consult healthcare provider."
Ciprofloxacin,Prednisone,high,"Severe interaction, avoid concurrent use."
Omeprazole,Losartan,high,"Severe interaction, avoid concurrent use."
Simvastatin,Omeprazole,high,"Severe interaction, avoid concurrent use."
Fluoxetine,Aripiprazole,high,"Severe interaction, avoid concurrent use."
Fluoxetine,Tramadol,medium,"Moderate interaction, consult healthcare provider."
Citalopram,Morphine,medium,"Moderate interaction, consult healthcare provider."
Ciprofloxacin,Zolpidem,high,"Severe interaction, avoid concurrent use."
Simvastatin,Hydrochlorothiazide,medium,"Moderate interaction, consult healthcare provider."
Amoxicillin,Prednisone,high,"Severe interaction, avoid concurrent use."
Citalopram,Fluoxetine,high,"Severe interaction, avoid concurrent use."
Hydrochlorothiazide,Levothyroxine,medium,"Moderate interaction, consult healthcare provider."
Aspirin,Citalopram,high,"Severe interaction, avoid concurrent use."
Paracetamol,Fluoxetine,medium,"Moderate interaction, consult healthcare provider."
Simvastatin,Venlafaxine,low,"Minor interaction, monitor symptoms."
