 drug_name,age_group,warning,severity,alternative,note
Hydroxyzine Variant29,Neonates,Risk of QT prolongation and sedation.,Moderate,Loratadine,Use safer antihistamines in elderly.
Codeine Variant30,All,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",High,Paracetamol,Not recommended for under 18.
Dexamethasone Variant31,<18,Long-term use can suppress growth and immune function in children.,Low,Ibuprofen,Use only when absolutely necessary.
Dexamethasone Variant32,Pediatric,Long-term use can suppress growth and immune function in children.,Moderate,Ibuprofen,Use only when absolutely necessary.
Codeine Variant33,Adult,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Medium,Paracetamol,Not recommended for under 18.
Codeine Variant34,Elderly,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",High,Paracetamol,Not recommended for under 18.
Promethazine Variant35,<2 years,Risk of fatal respiratory depression.,Low,Saline Nebulizer,Never use in children under 2.
Prednisone Variant36,Neonates,Can cause adrenal suppression and mood changes.,Medium,NSAIDs (short-term),Use only under strict medical advice.
Ciprofloxacin Variant37,All,May impair cartilage development in children.,Moderate,Amoxicillin,Use alternatives in pediatric cases.
Prednisone Variant38,Neonates,Can cause adrenal suppression and mood changes.,Critical,NSAIDs (short-term),Use only under strict medical advice.
Codeine Variant39,All,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Moderate,Paracetamol,Not recommended for under 18.
Prednisone Variant40,<2 years,Can cause adrenal suppression and mood changes.,Medium,NSAIDs (short-term),Use only under strict medical advice.
Chloramphenicol Variant41,<2 years,May cause Gray Baby Syndrome.,Low,Amoxicillin,Avoid in neonates.
Chloramphenicol Variant42,<18,May cause Gray Baby Syndrome.,Low,Amoxicillin,Avoid in neonates.
Codeine Variant43,Adult,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Critical,Paracetamol,Not recommended for under 18.
Hydroxyzine Variant44,Adult,Risk of QT prolongation and sedation.,Low,Loratadine,Use safer antihistamines in elderly.
Metoclopramide Variant45,<18,Can cause extrapyramidal symptoms.,Low,Ondansetron,Limit duration of use.
Metoclopramide Variant46,<2 years,Can cause extrapyramidal symptoms.,High,Ondansetron,Limit duration of use.
Metoclopramide Variant47,Elderly,Can cause extrapyramidal symptoms.,Medium,Ondansetron,Limit duration of use.
Aspirin Variant48,<2 years,Linked to Reye’s Syndrome in children.,High,Paracetamol,Avoid unless prescribed by doctor.
Codeine Variant49,Pediatric,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Moderate,Paracetamol,Not recommended for under 18.
Hydroxyzine Variant50,Pediatric,Risk of QT prolongation and sedation.,Critical,Loratadine,Use safer antihistamines in elderly.
Lorazepam Variant51,Adult,"Risk of falls, confusion, and sedation.",Moderate,Melatonin,Try non-pharma methods for sleep first.
Codeine Variant52,Adult,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Medium,Paracetamol,Not recommended for under 18.
Dexamethasone Variant53,Adult,Long-term use can suppress growth and immune function in children.,Low,Ibuprofen,Use only when absolutely necessary.
Prednisone Variant54,Elderly,Can cause adrenal suppression and mood changes.,Low,NSAIDs (short-term),Use only under strict medical advice.
Metoclopramide Variant55,<18,Can cause extrapyramidal symptoms.,Critical,Ondansetron,Limit duration of use.
Aspirin Variant56,All,Linked to Reye’s Syndrome in children.,Moderate,Paracetamol,Avoid unless prescribed by doctor.
Prednisone Variant57,Neonates,Can cause adrenal suppression and mood changes.,High,NSAIDs (short-term),Use only under strict medical advice.
Hydroxyzine Variant58,Elderly,Risk of QT prolongation and sedation.,Low,Loratadine,Use safer antihistamines in elderly.
Prednisone Variant59,Adult,Can cause adrenal suppression and mood changes.,Critical,NSAIDs (short-term),Use only under strict medical advice.
Codeine Variant60,Adult,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Moderate,Paracetamol,Not recommended for under 18.
Ciprofloxacin Variant61,All,May impair cartilage development in children.,Moderate,Amoxicillin,Use alternatives in pediatric cases.
Aspirin Variant62,Pediatric,Linked to Reye’s Syndrome in children.,Moderate,Paracetamol,Avoid unless prescribed by doctor.
Prednisone Variant63,Pediatric,Can cause adrenal suppression and mood changes.,Medium,NSAIDs (short-term),Use only under strict medical advice.
Promethazine Variant64,<18,Risk of fatal respiratory depression.,Critical,Saline Nebulizer,Never use in children under 2.
Lorazepam Variant65,All,"Risk of falls, confusion, and sedation.",Moderate,Melatonin,Try non-pharma methods for sleep first.
Prednisone Variant66,Elderly,Can cause adrenal suppression and mood changes.,Low,NSAIDs (short-term),Use only under strict medical advice.
Hydroxyzine Variant67,Pediatric,Risk of QT prolongation and sedation.,Medium,Loratadine,Use safer antihistamines in elderly.
Prednisone Variant68,Adult,Can cause adrenal suppression and mood changes.,High,NSAIDs (short-term),Use only under strict medical advice.
Dexamethasone Variant69,All,Long-term use can suppress growth and immune function in children.,High,Ibuprofen,Use only when absolutely necessary.
Chloramphenicol Variant70,Pediatric,May cause Gray Baby Syndrome.,Critical,Amoxicillin,Avoid in neonates.
Lorazepam Variant71,<18,"Risk of falls, confusion, and sedation.",Critical,Melatonin,Try non-pharma methods for sleep first.
Aspirin Variant72,Elderly,Linked to Reye’s Syndrome in children.,Medium,Paracetamol,Avoid unless prescribed by doctor.
Metoclopramide Variant73,All,Can cause extrapyramidal symptoms.,Moderate,Ondansetron,Limit duration of use.
Prednisone Variant74,Neonates,Can cause adrenal suppression and mood changes.,Medium,NSAIDs (short-term),Use only under strict medical advice.
Metoclopramide Variant75,All,Can cause extrapyramidal symptoms.,Critical,Ondansetron,Limit duration of use.
Prednisone Variant76,Adult,Can cause adrenal suppression and mood changes.,Moderate,NSAIDs (short-term),Use only under strict medical advice.
Hydroxyzine Variant77,<2 years,Risk of QT prolongation and sedation.,Medium,Loratadine,Use safer antihistamines in elderly.
Lorazepam Variant78,<18,"Risk of falls, confusion, and sedation.",High,Melatonin,Try non-pharma methods for sleep first.
Promethazine Variant79,All,Risk of fatal respiratory depression.,High,Saline Nebulizer,Never use in children under 2.
Aspirin Variant80,<2 years,Linked to Reye’s Syndrome in children.,Critical,Paracetamol,Avoid unless prescribed by doctor.
Ciprofloxacin Variant81,Neonates,May impair cartilage development in children.,Moderate,Amoxicillin,Use alternatives in pediatric cases.
Lorazepam Variant82,Pediatric,"Risk of falls, confusion, and sedation.",Low,Melatonin,Try non-pharma methods for sleep first.
Aspirin Variant83,Neonates,Linked to Reye’s Syndrome in children.,Moderate,Paracetamol,Avoid unless prescribed by doctor.
Lorazepam Variant84,Pediatric,"Risk of falls, confusion, and sedation.",Moderate,Melatonin,Try non-pharma methods for sleep first.
Metoclopramide Variant85,Pediatric,Can cause extrapyramidal symptoms.,Low,Ondansetron,Limit duration of use.
Lorazepam Variant86,Elderly,"Risk of falls, confusion, and sedation.",Medium,Melatonin,Try non-pharma methods for sleep first.
Aspirin Variant87,<18,Linked to Reye’s Syndrome in children.,Critical,Paracetamol,Avoid unless prescribed by doctor.
Codeine Variant88,Pediatric,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Moderate,Paracetamol,Not recommended for under 18.
Lorazepam Variant89,Neonates,"Risk of falls, confusion, and sedation.",Medium,Melatonin,Try non-pharma methods for sleep first.
Hydroxyzine Variant90,Pediatric,Risk of QT prolongation and sedation.,High,Loratadine,Use safer antihistamines in elderly.
Promethazine Variant91,<18,Risk of fatal respiratory depression.,Moderate,Saline Nebulizer,Never use in children under 2.
Codeine Variant92,Elderly,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Moderate,Paracetamol,Not recommended for under 18.
Codeine Variant93,<18,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Critical,Paracetamol,Not recommended for under 18.
Ciprofloxacin Variant94,<2 years,May impair cartilage development in children.,Moderate,Amoxicillin,Use alternatives in pediatric cases.
Ciprofloxacin Variant95,Neonates,May impair cartilage development in children.,High,Amoxicillin,Use alternatives in pediatric cases.
Lorazepam Variant96,Elderly,"Risk of falls, confusion, and sedation.",Moderate,Melatonin,Try non-pharma methods for sleep first.
Codeine Variant97,Pediatric,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Critical,Paracetamol,Not recommended for under 18.
Aspirin Variant98,<2 years,Linked to Reye’s Syndrome in children.,Critical,Paracetamol,Avoid unless prescribed by doctor.
Ciprofloxacin Variant99,Neonates,May impair cartilage development in children.,Low,Amoxicillin,Use alternatives in pediatric cases.
Prednisone Variant0,All,Can cause adrenal suppression and mood changes.,High,NSAIDs (short-term),Use only under strict medical advice.
Codeine Variant1,<2 years,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Critical,Paracetamol,Not recommended for under 18.
Chloramphenicol Variant2,<18,May cause Gray Baby Syndrome.,High,Amoxicillin,Avoid in neonates.
Hydroxyzine Variant3,Pediatric,Risk of QT prolongation and sedation.,Low,Loratadine,Use safer antihistamines in elderly.
Hydroxyzine Variant4,Neonates,Risk of QT prolongation and sedation.,Critical,Loratadine,Use safer antihistamines in elderly.
Prednisone Variant5,<2 years,Can cause adrenal suppression and mood changes.,Critical,NSAIDs (short-term),Use only under strict medical advice.
Metoclopramide Variant6,Elderly,Can cause extrapyramidal symptoms.,High,Ondansetron,Limit duration of use.
Chloramphenicol Variant7,Adult,May cause Gray Baby Syndrome.,Low,Amoxicillin,Avoid in neonates.
Chloramphenicol Variant8,Neonates,May cause Gray Baby Syndrome.,High,Amoxicillin,Avoid in neonates.
Promethazine Variant9,Adult,Risk of fatal respiratory depression.,High,Saline Nebulizer,Never use in children under 2.
Promethazine Variant10,Pediatric,Risk of fatal respiratory depression.,Low,Saline Nebulizer,Never use in children under 2.
Promethazine Variant11,<2 years,Risk of fatal respiratory depression.,High,Saline Nebulizer,Never use in children under 2.
Lorazepam Variant12,Pediatric,"Risk of falls, confusion, and sedation.",Moderate,Melatonin,Try non-pharma methods for sleep first.
Prednisone Variant13,Neonates,Can cause adrenal suppression and mood changes.,Medium,NSAIDs (short-term),Use only under strict medical advice.
Lorazepam Variant14,<2 years,"Risk of falls, confusion, and sedation.",Medium,Melatonin,Try non-pharma methods for sleep first.
Prednisone Variant15,Pediatric,Can cause adrenal suppression and mood changes.,Low,NSAIDs (short-term),Use only under strict medical advice.
Aspirin Variant16,Neonates,Linked to Reye’s Syndrome in children.,Moderate,Paracetamol,Avoid unless prescribed by doctor.
Lorazepam Variant17,All,"Risk of falls, confusion, and sedation.",Low,Melatonin,Try non-pharma methods for sleep first.
Hydroxyzine Variant18,Elderly,Risk of QT prolongation and sedation.,Low,Loratadine,Use safer antihistamines in elderly.
Codeine Variant19,Pediatric,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",High,Paracetamol,Not recommended for under 18.
Chloramphenicol Variant20,Adult,May cause Gray Baby Syndrome.,High,Amoxicillin,Avoid in neonates.
Dexamethasone Variant21,Neonates,Long-term use can suppress growth and immune function in children.,Moderate,Ibuprofen,Use only when absolutely necessary.
Prednisone Variant22,Neonates,Can cause adrenal suppression and mood changes.,Medium,NSAIDs (short-term),Use only under strict medical advice.
Chloramphenicol Variant23,Neonates,May cause Gray Baby Syndrome.,Moderate,Amoxicillin,Avoid in neonates.
Hydroxyzine Variant24,Adult,Risk of QT prolongation and sedation.,Medium,Loratadine,Use safer antihistamines in elderly.
Ciprofloxacin Variant25,Elderly,May impair cartilage development in children.,Moderate,Amoxicillin,Use alternatives in pediatric cases.
Promethazine Variant26,Neonates,Risk of fatal respiratory depression.,Critical,Saline Nebulizer,Never use in children under 2.
Ciprofloxacin Variant27,<18,May impair cartilage development in children.,Low,Amoxicillin,Use alternatives in pediatric cases.
Hydroxyzine Variant28,Neonates,Risk of QT prolongation and sedation.,Low,Loratadine,Use safer antihistamines in elderly.
Prednisone Variant29,<18,Can cause adrenal suppression and mood changes.,High,NSAIDs (short-term),Use only under strict medical advice.
Codeine Variant30,Pediatric,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Critical,Paracetamol,Not recommended for under 18.
Ciprofloxacin Variant31,<2 years,May impair cartilage development in children.,High,Amoxicillin,Use alternatives in pediatric cases.
Promethazine Variant32,Elderly,Risk of fatal respiratory depression.,High,Saline Nebulizer,Never use in children under 2.
Lorazepam Variant33,Pediatric,"Risk of falls, confusion, and sedation.",Low,Melatonin,Try non-pharma methods for sleep first.
Aspirin Variant34,Adult,Linked to Reye’s Syndrome in children.,High,Paracetamol,Avoid unless prescribed by doctor.
Aspirin Variant35,Neonates,Linked to Reye’s Syndrome in children.,Low,Paracetamol,Avoid unless prescribed by doctor.
Codeine Variant36,All,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Critical,Paracetamol,Not recommended for under 18.
Aspirin Variant37,<18,Linked to Reye’s Syndrome in children.,Critical,Paracetamol,Avoid unless prescribed by doctor.
Lorazepam Variant38,<2 years,"Risk of falls, confusion, and sedation.",Critical,Melatonin,Try non-pharma methods for sleep first.
Ciprofloxacin Variant39,All,May impair cartilage development in children.,Low,Amoxicillin,Use alternatives in pediatric cases.
Metoclopramide Variant40,<2 years,Can cause extrapyramidal symptoms.,Moderate,Ondansetron,Limit duration of use.
Promethazine Variant41,All,Risk of fatal respiratory depression.,Moderate,Saline Nebulizer,Never use in children under 2.
Dexamethasone Variant42,<18,Long-term use can suppress growth and immune function in children.,High,Ibuprofen,Use only when absolutely necessary.
Metoclopramide Variant43,Adult,Can cause extrapyramidal symptoms.,Moderate,Ondansetron,Limit duration of use.
Prednisone Variant44,<2 years,Can cause adrenal suppression and mood changes.,Moderate,NSAIDs (short-term),Use only under strict medical advice.
Dexamethasone Variant45,Neonates,Long-term use can suppress growth and immune function in children.,Moderate,Ibuprofen,Use only when absolutely necessary.
Prednisone Variant46,Neonates,Can cause adrenal suppression and mood changes.,Medium,NSAIDs (short-term),Use only under strict medical advice.
Ciprofloxacin Variant47,All,May impair cartilage development in children.,Moderate,Amoxicillin,Use alternatives in pediatric cases.
Prednisone Variant48,<2 years,Can cause adrenal suppression and mood changes.,Critical,NSAIDs (short-term),Use only under strict medical advice.
Aspirin Variant49,Elderly,Linked to Reye’s Syndrome in children.,Medium,Paracetamol,Avoid unless prescribed by doctor.
Chloramphenicol Variant50,<2 years,May cause Gray Baby Syndrome.,High,Amoxicillin,Avoid in neonates.
Promethazine Variant51,Adult,Risk of fatal respiratory depression.,High,Saline Nebulizer,Never use in children under 2.
Dexamethasone Variant52,Adult,Long-term use can suppress growth and immune function in children.,Low,Ibuprofen,Use only when absolutely necessary.
Aspirin Variant53,Adult,Linked to Reye’s Syndrome in children.,Critical,Paracetamol,Avoid unless prescribed by doctor.
Metoclopramide Variant54,All,Can cause extrapyramidal symptoms.,Medium,Ondansetron,Limit duration of use.
Dexamethasone Variant55,All,Long-term use can suppress growth and immune function in children.,Medium,Ibuprofen,Use only when absolutely necessary.
Codeine Variant56,Adult,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Medium,Paracetamol,Not recommended for under 18.
Hydroxyzine Variant57,Neonates,Risk of QT prolongation and sedation.,Critical,Loratadine,Use safer antihistamines in elderly.
Dexamethasone Variant58,Adult,Long-term use can suppress growth and immune function in children.,Critical,Ibuprofen,Use only when absolutely necessary.
Prednisone Variant59,Adult,Can cause adrenal suppression and mood changes.,Medium,NSAIDs (short-term),Use only under strict medical advice.
Chloramphenicol Variant60,<2 years,May cause Gray Baby Syndrome.,Critical,Amoxicillin,Avoid in neonates.
Promethazine Variant61,All,Risk of fatal respiratory depression.,Moderate,Saline Nebulizer,Never use in children under 2.
Prednisone Variant62,Adult,Can cause adrenal suppression and mood changes.,Moderate,NSAIDs (short-term),Use only under strict medical advice.
Chloramphenicol Variant63,Elderly,May cause Gray Baby Syndrome.,Moderate,Amoxicillin,Avoid in neonates.
Metoclopramide Variant64,<2 years,Can cause extrapyramidal symptoms.,Moderate,Ondansetron,Limit duration of use.
Hydroxyzine Variant65,Adult,Risk of QT prolongation and sedation.,Moderate,Loratadine,Use safer antihistamines in elderly.
Ciprofloxacin Variant66,<2 years,May impair cartilage development in children.,Medium,Amoxicillin,Use alternatives in pediatric cases.
Aspirin Variant67,Elderly,Linked to Reye’s Syndrome in children.,Critical,Paracetamol,Avoid unless prescribed by doctor.
Aspirin Variant68,Pediatric,Linked to Reye’s Syndrome in children.,Critical,Paracetamol,Avoid unless prescribed by doctor.
Lorazepam Variant69,Elderly,"Risk of falls, confusion, and sedation.",Low,Melatonin,Try non-pharma methods for sleep first.
Ciprofloxacin Variant70,Adult,May impair cartilage development in children.,Medium,Amoxicillin,Use alternatives in pediatric cases.
Promethazine Variant71,Elderly,Risk of fatal respiratory depression.,Critical,Saline Nebulizer,Never use in children under 2.
Chloramphenicol Variant72,Adult,May cause Gray Baby Syndrome.,High,Amoxicillin,Avoid in neonates.
Lorazepam Variant73,Adult,"Risk of falls, confusion, and sedation.",Critical,Melatonin,Try non-pharma methods for sleep first.
Chloramphenicol Variant74,Pediatric,May cause Gray Baby Syndrome.,High,Amoxicillin,Avoid in neonates.
Chloramphenicol Variant75,Neonates,May cause Gray Baby Syndrome.,Medium,Amoxicillin,Avoid in neonates.
Chloramphenicol Variant76,<2 years,May cause Gray Baby Syndrome.,Medium,Amoxicillin,Avoid in neonates.
Promethazine Variant77,<2 years,Risk of fatal respiratory depression.,Moderate,Saline Nebulizer,Never use in children under 2.
Aspirin Variant78,Pediatric,Linked to Reye’s Syndrome in children.,High,Paracetamol,Avoid unless prescribed by doctor.
Prednisone Variant79,<18,Can cause adrenal suppression and mood changes.,Medium,NSAIDs (short-term),Use only under strict medical advice.
Dexamethasone Variant80,<18,Long-term use can suppress growth and immune function in children.,Low,Ibuprofen,Use only when absolutely necessary.
Aspirin Variant81,Elderly,Linked to Reye’s Syndrome in children.,Moderate,Paracetamol,Avoid unless prescribed by doctor.
Metoclopramide Variant82,Adult,Can cause extrapyramidal symptoms.,Low,Ondansetron,Limit duration of use.
Dexamethasone Variant83,<18,Long-term use can suppress growth and immune function in children.,Moderate,Ibuprofen,Use only when absolutely necessary.
Ciprofloxacin Variant84,Adult,May impair cartilage development in children.,High,Amoxicillin,Use alternatives in pediatric cases.
Codeine Variant85,Neonates,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Medium,Paracetamol,Not recommended for under 18.
Codeine Variant86,Adult,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Medium,Paracetamol,Not recommended for under 18.
Ciprofloxacin Variant87,<18,May impair cartilage development in children.,Moderate,Amoxicillin,Use alternatives in pediatric cases.
Codeine Variant88,Pediatric,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Moderate,Paracetamol,Not recommended for under 18.
Promethazine Variant89,Adult,Risk of fatal respiratory depression.,High,Saline Nebulizer,Never use in children under 2.
Hydroxyzine Variant90,All,Risk of QT prolongation and sedation.,Moderate,Loratadine,Use safer antihistamines in elderly.
Codeine Variant91,Elderly,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",High,Paracetamol,Not recommended for under 18.
Hydroxyzine Variant92,<2 years,Risk of QT prolongation and sedation.,Moderate,Loratadine,Use safer antihistamines in elderly.
Prednisone Variant93,Adult,Can cause adrenal suppression and mood changes.,High,NSAIDs (short-term),Use only under strict medical advice.
Hydroxyzine Variant94,Adult,Risk of QT prolongation and sedation.,Moderate,Loratadine,Use safer antihistamines in elderly.
Hydroxyzine Variant95,All,Risk of QT prolongation and sedation.,Critical,Loratadine,Use safer antihistamines in elderly.
Dexamethasone Variant96,<2 years,Long-term use can suppress growth and immune function in children.,Critical,Ibuprofen,Use only when absolutely necessary.
Hydroxyzine Variant97,Adult,Risk of QT prolongation and sedation.,Low,Loratadine,Use safer antihistamines in elderly.
Promethazine Variant98,<18,Risk of fatal respiratory depression.,Moderate,Saline Nebulizer,Never use in children under 2.
Lorazepam Variant99,Elderly,"Risk of falls, confusion, and sedation.",High,Melatonin,Try non-pharma methods for sleep first.
Prednisone Variant0,Pediatric,Can cause adrenal suppression and mood changes.,Critical,NSAIDs (short-term),Use only under strict medical advice.
Codeine Variant1,Elderly,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",High,Paracetamol,Not recommended for under 18.
Prednisone Variant2,Elderly,Can cause adrenal suppression and mood changes.,High,NSAIDs (short-term),Use only under strict medical advice.
Dexamethasone Variant3,Elderly,Long-term use can suppress growth and immune function in children.,Moderate,Ibuprofen,Use only when absolutely necessary.
Dexamethasone Variant4,<2 years,Long-term use can suppress growth and immune function in children.,High,Ibuprofen,Use only when absolutely necessary.
Codeine Variant5,Adult,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",High,Paracetamol,Not recommended for under 18.
Codeine Variant6,All,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Low,Paracetamol,Not recommended for under 18.
Codeine Variant7,<18,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Critical,Paracetamol,Not recommended for under 18.
Promethazine Variant8,Adult,Risk of fatal respiratory depression.,Moderate,Saline Nebulizer,Never use in children under 2.
Ciprofloxacin Variant9,Elderly,May impair cartilage development in children.,Low,Amoxicillin,Use alternatives in pediatric cases.
Chloramphenicol Variant10,Elderly,May cause Gray Baby Syndrome.,Moderate,Amoxicillin,Avoid in neonates.
Ciprofloxacin Variant11,<18,May impair cartilage development in children.,High,Amoxicillin,Use alternatives in pediatric cases.
Metoclopramide Variant12,<18,Can cause extrapyramidal symptoms.,Low,Ondansetron,Limit duration of use.
Ciprofloxacin Variant13,<2 years,May impair cartilage development in children.,Critical,Amoxicillin,Use alternatives in pediatric cases.
Codeine Variant14,Adult,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Medium,Paracetamol,Not recommended for under 18.
Dexamethasone Variant15,Neonates,Long-term use can suppress growth and immune function in children.,Moderate,Ibuprofen,Use only when absolutely necessary.
Codeine Variant16,<18,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Moderate,Paracetamol,Not recommended for under 18.
Hydroxyzine Variant17,<18,Risk of QT prolongation and sedation.,Moderate,Loratadine,Use safer antihistamines in elderly.
Chloramphenicol Variant18,Adult,May cause Gray Baby Syndrome.,Low,Amoxicillin,Avoid in neonates.
Dexamethasone Variant19,All,Long-term use can suppress growth and immune function in children.,Low,Ibuprofen,Use only when absolutely necessary.
Promethazine Variant20,Neonates,Risk of fatal respiratory depression.,High,Saline Nebulizer,Never use in children under 2.
Hydroxyzine Variant21,All,Risk of QT prolongation and sedation.,High,Loratadine,Use safer antihistamines in elderly.
Hydroxyzine Variant22,Adult,Risk of QT prolongation and sedation.,Low,Loratadine,Use safer antihistamines in elderly.
Codeine Variant23,Elderly,"Risk of respiratory depression, especially in ultra-rapid metabolizers.",Critical,Paracetamol,Not recommended for under 18.
Metoclopramide Variant24,<2 years,Can cause extrapyramidal symptoms.,Moderate,Ondansetron,Limit duration of use.
Prednisone Variant25,Adult,Can cause adrenal suppression and mood changes.,Critical,NSAIDs (short-term),Use only under strict medical advice.
Metoclopramide Variant26,Neonates,Can cause extrapyramidal symptoms.,Medium,Ondansetron,Limit duration of use.
Dexamethasone Variant27,Adult,Long-term use can suppress growth and immune function in children.,Moderate,Ibuprofen,Use only when absolutely necessary.
Lorazepam Variant28,Pediatric,"Risk of falls, confusion, and sedation.",Medium,Melatonin,Try non-pharma methods for sleep first.
Hydroxyzine Variant29,Elderly,Risk of QT prolongation and sedation.,Medium,Loratadine,Use safer antihistamines in elderly.
Prednisone Variant30,Neonates,Can cause adrenal suppression and mood changes.,Medium,NSAIDs (short-term),Use only under strict medical advice.
Chloramphenicol Variant31,All,May cause Gray Baby Syndrome.,Critical,Amoxicillin,Avoid in neonates.
Hydroxyzine Variant32,Neonates,Risk of QT prolongation and sedation.,Critical,Loratadine,Use safer antihistamines in elderly.
Aspirin Variant33,Elderly,Linked to Reye’s Syndrome in children.,Medium,Paracetamol,Avoid unless prescribed by doctor.
Metoclopramide Variant34,<2 years,Can cause extrapyramidal symptoms.,Critical,Ondansetron,Limit duration of use.
Aspirin Variant35,Neonates,Linked to Reye’s Syndrome in children.,Medium,Paracetamol,Avoid unless prescribed by doctor.
Metoclopramide Variant36,Elderly,Can cause extrapyramidal symptoms.,Moderate,Ondansetron,Limit duration of use.
Ciprofloxacin Variant37,Neonates,May impair cartilage development in children.,Low,Amoxicillin,Use alternatives in pediatric cases.
Dexamethasone Variant38,Neonates,Long-term use can suppress growth and immune function in children.,Medium,Ibuprofen,Use only when absolutely necessary.
Hydroxyzine Variant39,All,Risk of QT prolongation and sedation.,Moderate,Loratadine,Use safer antihistamines in elderly.
